"location","block","plot","diversity","log.diversity","biomass"
"Germany",1,"B1P001",1,0,619.7
"Germany",1,"B1P002",16,4,832.4
"Germany",1,"B1P003",2,1,427.7
"Germany",1,"B1P004",1,0,259.9
"Germany",1,"B1P005",2,1,794.3
"Germany",1,"B1P006",1,0,233.3
"Germany",1,"B1P007",1,0,498.5
"Germany",1,"B1P008",2,1,472.1
"Germany",1,"B1P009",8,3,574.7
"Germany",1,"B1P010",4,2,446.5
"Germany",1,"B1P011",16,4,528.7
"Germany",1,"B1P013",4,2,605.2
"Germany",1,"B1P014",2,1,464.4
"Germany",1,"B1P015",8,3,475.8
"Germany",1,"B1P016",8,3,577.5
"Germany",1,"B1P017",4,2,837
"Germany",1,"B1P018",1,0,423.7
"Germany",1,"B1P019",2,1,570.3
"Germany",1,"B1P020",1,0,196.4
"Germany",1,"B1P021",1,0,561.2
"Germany",1,"B1P022",8,3,589
"Germany",1,"B1P023",4,2,748.2
"Germany",1,"B1P024",1,0,757.6
"Germany",1,"B1P025",2,1,329.9
"Germany",1,"B1P026",8,3,362.7
"Germany",1,"B1P027",2,1,495.5
"Germany",1,"B1P028",16,4,289.6
"Germany",1,"B1P030",1,0,295.5
"Germany",1,"B1P031",4,2,407.3
"Germany",1,"B1P032",1,0,439
"Germany",2,"B1P033",1,0,280.9
"Germany",2,"B1P034",2,1,266.3
"Germany",2,"B1P035",2,1,498
"Germany",2,"B1P036",4,2,709.6
"Germany",2,"B1P037",8,3,312.3
"Germany",2,"B1P038",16,4,607.9
"Germany",2,"B1P039",1,0,253
"Germany",2,"B1P040",4,2,419.3
"Germany",2,"B1P042",1,0,452.7
"Germany",2,"B1P043",1,0,546.5
"Germany",2,"B1P044",8,3,579.5
"Germany",2,"B1P045",8,3,808.6
"Germany",2,"B1P046",2,1,758.6
"Germany",2,"B1P047",1,0,402.5
"Germany",2,"B1P048",1,0,554.3
"Germany",2,"B1P049",2,1,581.5
"Germany",2,"B1P050",4,2,682.5
"Germany",2,"B1P051",16,4,575.5
"Germany",2,"B1P052",1,0,530.3
"Germany",2,"B1P053",1,0,197.8
"Germany",2,"B1P054",2,1,549.3
"Germany",2,"B1P055",4,2,581.4
"Germany",2,"B1P056",16,4,885.3
"Germany",2,"B1P057",4,2,567.1
"Germany",2,"B1P058",1,0,643.2
"Germany",2,"B1P059",8,3,540.5
"Germany",2,"B1P060",2,1,630.3
"Germany",2,"B1P062",2,1,739.1
"Germany",2,"B1P063",1,0,507
"Germany",2,"B1P064",8,3,499.2
"Portugal",1,"C2P001",1,0,177.2
"Portugal",1,"C2P002",1,0,320.5
"Portugal",1,"C2P003",4,2,373
"Portugal",1,"C2P004",2,1,192.9
"Portugal",1,"C2P005",1,0,362.4
"Portugal",1,"C2P006",8,3,283.3
"Portugal",1,"C2P007",1,0,36
"Portugal",1,"C2P008",1,0,39.2
"Portugal",1,"C2P009",4,2,373.3
"Portugal",1,"C2P010",1,0,66.9
"Portugal",1,"C2P012",1,0,44.6
"Portugal",1,"C2P013",1,0,18.2
"Portugal",1,"C2P014",1,0,9.8
"Portugal",1,"C2P015",1,0,102.6
"Portugal",1,"C2P016",1,0,128.6
"Portugal",1,"C2P017",1,0,136.5
"Portugal",1,"C2P018",1,0,70
"Portugal",1,"C2P019",1,0,304.7
"Portugal",1,"C2P020",4,2,365.5
"Portugal",1,"C2P021",1,0,310
"Portugal",1,"C2P024",2,1,222.3
"Portugal",1,"C2P025",1,0,162.9
"Portugal",1,"C2P026",14,3.8073549220576,579.9
"Portugal",1,"C2P027",4,2,69.7
"Portugal",1,"C2P028",2,1,305.4
"Portugal",1,"C2P029",4,2,126.5
"Portugal",1,"C2P030",1,0,146.4
"Portugal",1,"C2P032",1,0,223.3
"Portugal",1,"C2P033",4,2,137.9
"Portugal",1,"C2P034",1,0,82.5
"Portugal",1,"C2P035",2,1,283.8
"Portugal",1,"C2P036",4,2,546.6
"Portugal",1,"C2P038",1,0,353.9
"Portugal",1,"C2P039",2,1,383.8
"Portugal",1,"C2P040",14,3.8073549220576,513.3
"Portugal",1,"C2P041",1,0,310
"Portugal",1,"C2P042",2,1,378.7
"Portugal",1,"C2P043",4,2,384.5
"Portugal",1,"C2P044",1,0,126.7
"Portugal",1,"C2P045",4,2,79.9
"Portugal",1,"C2P046",1,0,245.6
"Portugal",1,"C2P047",1,0,81.6
"Portugal",1,"C2P048",2,1,179.4
"Portugal",1,"C2P049",1,0,76.8
"Portugal",1,"C2P050",2,1,103.4
"Portugal",1,"C2P051",1,0,43.8
"Portugal",1,"C2P052",2,1,291.4
"Portugal",1,"C2P053",4,2,103.5
"Portugal",1,"C2P054",8,3,353.6
"Portugal",1,"C2P055",8,3,236.6
"Portugal",1,"C2P056",1,0,427.8
"Portugal",1,"C2P057",1,0,308.5
"Portugal",1,"C2P058",2,1,136.2
"Portugal",1,"C2P064",14,3.8073549220576,666
"Portugal",1,"C2P065",14,3.8073549220576,414.8
"Portugal",1,"C2P067",8,3,416.3
"Switzerland",1,"L3P001",1,0,32.3
"Switzerland",1,"L3P002",4,2,55.5
"Switzerland",1,"L3P003",4,2,5.6
"Switzerland",1,"L3P004",1,0,164.8
"Switzerland",1,"L3P005",4,2,6.1
"Switzerland",1,"L3P006",8,3,129.1
"Switzerland",1,"L3P007",4,2,186
"Switzerland",1,"L3P008",1,0,178.4
"Switzerland",1,"L3P009",8,3,96.6
"Switzerland",1,"L3P010",2,1,27.4
"Switzerland",1,"L3P011",1,0,63.9
"Switzerland",1,"L3P012",2,1,113.6
"Switzerland",1,"L3P013",1,0,23.6
"Switzerland",1,"L3P014",2,1,273
"Switzerland",1,"L3P015",4,2,221.6
"Switzerland",1,"L3P016",4,2,85.1
"Switzerland",1,"L3P017",2,1,35
"Switzerland",1,"L3P018",8,3,75.7
"Switzerland",1,"L3P019",32,5,115.3
"Switzerland",1,"L3P020",2,1,170
"Switzerland",1,"L3P021",8,3,293.8
"Switzerland",1,"L3P022",2,1,62
"Switzerland",1,"L3P023",4,2,84.2
"Switzerland",1,"L3P024",1,0,76.7
"Switzerland",1,"L3P025",2,1,187.1
"Switzerland",1,"L3P026",1,0,103.1
"Switzerland",1,"L3P027",32,5,388.1
"Switzerland",1,"L3P028",1,0,116.6
"Switzerland",1,"L3P029",4,2,235.5
"Switzerland",1,"L3P030",8,3,223.4
"Switzerland",1,"L3P031",1,0,271.1
"Switzerland",1,"L3P032",1,0,284.7
"Switzerland",2,"L3P033",4,2,127.6
"Switzerland",2,"L3P034",32,5,124.6
"Switzerland",2,"L3P035",4,2,6.5
"Switzerland",2,"L3P036",1,0,202.8
"Switzerland",2,"L3P037",1,0,18.6
"Switzerland",2,"L3P038",1,0,123.5
"Switzerland",2,"L3P039",8,3,111.5
"Switzerland",2,"L3P040",2,1,157.4
"Switzerland",2,"L3P041",2,1,174.9
"Switzerland",2,"L3P042",1,0,96.9
"Switzerland",2,"L3P043",1,0,68.6
"Switzerland",2,"L3P044",4,2,170.3
"Switzerland",2,"L3P045",1,0,13.2
"Switzerland",2,"L3P046",2,1,290
"Switzerland",2,"L3P047",2,1,176.1
"Switzerland",2,"L3P048",8,3,126.5
"Switzerland",2,"L3P049",1,0,19.9
"Switzerland",2,"L3P050",4,2,98.5
"Switzerland",2,"L3P051",4,2,185.3
"Switzerland",2,"L3P052",2,1,180.1
"Switzerland",2,"L3P053",1,0,197.1
"Switzerland",2,"L3P054",4,2,67
"Switzerland",2,"L3P055",8,3,148.7
"Switzerland",2,"L3P056",4,2,160.8
"Switzerland",2,"L3P057",2,1,279.8
"Switzerland",2,"L3P058",1,0,151.3
"Switzerland",2,"L3P059",8,3,301.5
"Switzerland",2,"L3P060",32,5,90.4
"Switzerland",2,"L3P061",1,0,243.8
"Switzerland",2,"L3P062",4,2,297.5
"Switzerland",2,"L3P063",8,3,278.9
"Switzerland",2,"L3P064",2,1,274.6
"Greece",1,"M4P001",2,1,0
"Greece",1,"M4P002",8,3,459.5
"Greece",1,"M4P003",1,0,34.3
"Greece",1,"M4P004",1,0,0
"Greece",1,"M4P005",4,2,209
"Greece",1,"M4P006",4,2,290.7
"Greece",1,"M4P009",18,4.16992500144231,184.2
"Greece",1,"M4P010",2,1,0
"Greece",1,"M4P011",2,1,107
"Greece",1,"M4P012",18,4.16992500144231,169.3
"Greece",1,"M4P014",1,0,0
"Greece",1,"M4P015",1,0,312.4
"Greece",1,"M4P016",4,2,2
"Greece",1,"M4P017",2,1,1
"Greece",1,"M4P018",4,2,0
"Greece",1,"M4P019",8,3,40.8
"Greece",1,"M4P020",2,1,0
"Greece",1,"M4P021",1,0,0
"Greece",1,"M4P022",18,4.16992500144231,168.6
"Greece",1,"M4P023",4,2,0
"Greece",1,"M4P024",8,3,421.4
"Greece",1,"M4P026",18,4.16992500144231,199.8
"Greece",1,"M4P027",2,1,0
"Greece",1,"M4P028",1,0,0
"Greece",1,"M4P029",8,3,29.4
"Greece",1,"M4P030",1,0,17.5
"Greece",2,"M4P031",1,0,1110.5
"Greece",2,"M4P032",18,4.16992500144231,273
"Greece",2,"M4P033",2,1,0
"Greece",2,"M4P034",2,1,0
"Greece",2,"M4P035",4,2,0
"Greece",2,"M4P036",2,1,0.4
"Greece",2,"M4P037",2,1,52.6
"Greece",2,"M4P038",18,4.16992500144231,40.6
"Greece",2,"M4P039",1,0,0
"Greece",2,"M4P041",8,3,192.3
"Greece",2,"M4P042",4,2,19.5
"Greece",2,"M4P043",1,0,0
"Greece",2,"M4P044",8,3,112.9
"Greece",2,"M4P045",4,2,0
"Greece",2,"M4P046",18,4.16992500144231,80.3
"Greece",2,"M4P047",1,0,0
"Greece",2,"M4P048",2,1,0
"Greece",2,"M4P049",1,0,0
"Greece",2,"M4P050",1,0,198
"Greece",2,"M4P051",8,3,40.1
"Greece",2,"M4P052",1,0,0
"Greece",2,"M4P053",4,2,134.6
"Greece",2,"M4P054",18,4.16992500144231,18.5
"Greece",2,"M4P056",2,1,0
"Greece",2,"M4P058",8,3,152.8
"Greece",2,"M4P060",4,2,0
"Ireland",1,"R5P003",1,0,476.4
"Ireland",1,"R5P004",2,1,705.6
"Ireland",1,"R5P005",1,0,941.6
"Ireland",1,"R5P006",4,2,325.2
"Ireland",1,"R5P007",4,2,747.6
"Ireland",1,"R5P008",2,1,578.4
"Ireland",1,"R5P009",8,3,803.2
"Ireland",1,"R5P010",1,0,334
"Ireland",1,"R5P011",1,0,228
"Ireland",1,"R5P012",2,1,200
"Ireland",1,"R5P013",1,0,332.8
"Ireland",1,"R5P014",4,2,390.8
"Ireland",1,"R5P015",4,2,642.8
"Ireland",1,"R5P016",2,1,1640.4
"Ireland",1,"R5P017",1,0,387.2
"Ireland",1,"R5P018",2,1,339.2
"Ireland",1,"R5P019",4,2,432
"Ireland",1,"R5P020",1,0,234.8
"Ireland",1,"R5P021",8,3,484
"Ireland",1,"R5P022",4,2,268.4
"Ireland",1,"R5P023",2,1,622
"Ireland",1,"R5P024",2,1,400.4
"Ireland",1,"R5P025",1,0,405.2
"Ireland",1,"R5P026",1,0,223.6
"Ireland",1,"R5P027",1,0,1087.6
"Ireland",1,"R5P028",8,3,330.4
"Ireland",1,"R5P030",8,3,625.6
"Ireland",1,"R5P031",4,2,467.6
"Ireland",1,"R5P032",2,1,982
"Ireland",1,"R5P033",3,1.58496250072116,330.4
"Ireland",1,"R5P035",4,2,922.4
"Ireland",1,"R5P036",4,2,968.8
"Ireland",1,"R5P037",3,1.58496250072116,960
"Ireland",1,"R5P038",4,2,609.6
"Ireland",2,"R5P041",1,0,421.2
"Ireland",2,"R5P042",4,2,396.4
"Ireland",2,"R5P043",1,0,186
"Ireland",2,"R5P044",3,1.58496250072116,757.2
"Ireland",2,"R5P045",8,3,175.2
"Ireland",2,"R5P046",4,2,465.2
"Ireland",2,"R5P047",4,2,962.4
"Ireland",2,"R5P048",2,1,676.4
"Ireland",2,"R5P049",2,1,448
"Ireland",2,"R5P050",3,1.58496250072116,463.6
"Ireland",2,"R5P052",8,3,583.6
"Ireland",2,"R5P053",2,1,264
"Ireland",2,"R5P055",4,2,781.6
"Ireland",2,"R5P056",4,2,362
"Ireland",2,"R5P057",8,3,531.2
"Ireland",2,"R5P058",8,3,172.4
"Ireland",2,"R5P059",4,2,1170.4
"Ireland",2,"R5P060",1,0,266.4
"Ireland",2,"R5P061",2,1,486.4
"Ireland",2,"R5P062",2,1,843.6
"Ireland",2,"R5P065",2,1,688.4
"Ireland",2,"R5P066",4,2,504.4
"Ireland",2,"R5P067",1,0,217.6
"Ireland",2,"R5P068",2,1,914.4
"Ireland",2,"R5P069",4,2,557.6
"Ireland",2,"R5P070",1,0,67.2
"Ireland",2,"R5P071",1,0,332.8
"Ireland",2,"R5P072",1,0,844.8
"Ireland",2,"R5P073",2,1,677.6
"Ireland",2,"R5P074",1,0,696
"Ireland",2,"R5P075",4,2,625.6
"Ireland",2,"R5P076",1,0,251.2
"Sweden",2,"R6P001",4,2,33
"Sweden",2,"R6P002",1,0,56.9
"Sweden",2,"R6P003",1,0,38.6
"Sweden",2,"R6P004",1,0,38.6
"Sweden",2,"R6P005",1,0,7.1
"Sweden",1,"R6P008",1,0,0.5
"Sweden",1,"R6P009",12,3.58496250072116,56.2
"Sweden",1,"R6P010",12,3.58496250072116,70.3
"Sweden",1,"R6P011",1,0,14.4
"Sweden",1,"R6P012",2,1,67.2
"Sweden",1,"R6P013",4,2,36
"Sweden",1,"R6P014",1,0,0
"Sweden",1,"R6P015",2,1,2.3
"Sweden",1,"R6P017",8,3,33.8
"Sweden",1,"R6P018",8,3,62
"Sweden",2,"R6P019",2,1,111.3
"Sweden",2,"R6P020",4,2,62.2
"Sweden",2,"R6P021",1,0,110.7
"Sweden",2,"R6P023",12,3.58496250072116,67.7
"Sweden",2,"R6P024",8,3,38.3
"Sweden",2,"R6P025",8,3,52.6
"Sweden",2,"R6P026",4,2,67.7
"Sweden",2,"R6P027",4,2,93.8
"Sweden",2,"R6P028",2,1,20
"Sweden",2,"R6P029",2,1,129.2
"Sweden",2,"R6P030",1,0,0
"Sweden",1,"R6P031",4,2,103.4
"Sweden",1,"R6P032",2,1,126.7
"Sweden",1,"R6P033",1,0,12.1
"Sweden",1,"R6P034",2,1,0
"Sweden",1,"R6P035",1,0,54
"Sweden",1,"R6P036",1,0,146
"Sweden",1,"R6P037",4,2,116.6
"Sweden",1,"R6P038",4,2,86
"Sweden",1,"R6P040",1,0,1.8
"Sweden",1,"R6P041",1,0,0
"Sweden",2,"R6P043",4,2,38.1
"Sweden",2,"R6P044",2,1,22.1
"Sweden",2,"R6P045",8,3,100.9
"Sweden",2,"R6P046",1,0,0
"Sweden",2,"R6P047",2,1,0
"Sweden",2,"R6P048",1,0,51.3
"Sweden",2,"R6P051",2,1,10.3
"Sweden",2,"R6P052",2,1,51.7
"Sweden",2,"R6P053",1,0,95
"Sweden",2,"R6P054",12,3.58496250072116,94.7
"Sweden",1,"R6P056",4,2,86.1
"Sweden",1,"R6P057",1,0,155.7
"Sweden",1,"R6P058",2,1,164.7
"Sweden",1,"R6P059",1,0,0.7
"Sweden",1,"R6P060",1,0,68
"Sweden",1,"R6P062",4,2,96.5
"Sweden",1,"R6P063",1,0,121.2
"Sweden",1,"R6P066",8,3,138.5
"Sweden",2,"R6P067",1,0,0
"Sweden",2,"R6P068",1,0,85.5
"Sweden",2,"R6P069",1,0,0
"Sweden",2,"R6P072",4,2,54.6
"Sheffield",1,"S7P001",1,0,60.8
"Sheffield",1,"S7P002",2,1,142.3
"Sheffield",1,"S7P003",1,0,20.4
"Sheffield",1,"S7P004",1,0,23.1
"Sheffield",1,"S7P005",8,3,129.5
"Sheffield",1,"S7P006",1,0,7.1
"Sheffield",1,"S7P007",2,1,75.7
"Sheffield",1,"S7P008",2,1,64.1
"Sheffield",1,"S7P009",4,2,149.9
"Sheffield",1,"S7P010",1,0,0.2
"Sheffield",1,"S7P011",4,2,87.6
"Sheffield",1,"S7P012",12,3.58496250072116,75.8
"Sheffield",1,"S7P013",2,1,129.5
"Sheffield",1,"S7P014",1,0,9.3
"Sheffield",1,"S7P015",4,2,84.2
"Sheffield",1,"S7P016",1,0,0.5
"Sheffield",1,"S7P017",1,0,221.6
"Sheffield",1,"S7P018",1,0,10.9
"Sheffield",1,"S7P019",8,3,137.7
"Sheffield",1,"S7P020",1,0,233.3
"Sheffield",1,"S7P021",1,0,0.4
"Sheffield",1,"S7P022",8,3,119.4
"Sheffield",1,"S7P023",12,3.58496250072116,77.8
"Sheffield",1,"S7P024",1,0,87.8
"Sheffield",1,"S7P025",4,2,97.2
"Sheffield",1,"S7P026",8,3,130.8
"Sheffield",1,"S7P027",2,1,96.8
"Sheffield",2,"S7P028",8,3,111.2
"Sheffield",2,"S7P029",1,0,0.8
"Sheffield",2,"S7P030",2,1,135.5
"Sheffield",2,"S7P031",4,2,83.4
"Sheffield",2,"S7P032",2,1,97.8
"Sheffield",2,"S7P033",1,0,9.4
"Sheffield",2,"S7P034",12,3.58496250072116,83.4
"Sheffield",2,"S7P035",1,0,0.2
"Sheffield",2,"S7P036",4,2,98.9
"Sheffield",2,"S7P037",4,2,161
"Sheffield",2,"S7P038",1,0,15.4
"Sheffield",2,"S7P039",12,3.58496250072116,87.3
"Sheffield",2,"S7P040",8,3,154.4
"Sheffield",2,"S7P041",1,0,8.1
"Sheffield",2,"S7P042",4,2,101.8
"Sheffield",2,"S7P043",1,0,1.1
"Sheffield",2,"S7P044",8,3,111.7
"Sheffield",2,"S7P045",1,0,233.4
"Sheffield",2,"S7P046",2,1,75.2
"Sheffield",2,"S7P047",1,0,82.7
"Sheffield",2,"S7P048",1,0,93
"Sheffield",2,"S7P049",1,0,30.2
"Sheffield",2,"S7P050",2,1,82.3
"Sheffield",2,"S7P051",8,3,144.9
"Sheffield",2,"S7P052",2,1,169.3
"Sheffield",2,"S7P053",1,0,225.4
"Sheffield",2,"S7P054",1,0,19.1
"Silwood",1,"S8P001",4,2,413.3
"Silwood",1,"S8P002",8,3,225.8
"Silwood",1,"S8P003",1,0,607.4
"Silwood",1,"S8P005",1,0,160.4
"Silwood",1,"S8P006",1,0,281.5
"Silwood",1,"S8P007",1,0,545.1
"Silwood",1,"S8P008",4,2,712.3
"Silwood",1,"S8P009",1,0,81.3
"Silwood",1,"S8P010",11,3.4594316186373,230.7
"Silwood",1,"S8P011",4,2,311.1
"Silwood",1,"S8P012",2,1,385.4
"Silwood",1,"S8P013",4,2,322.6
"Silwood",1,"S8P014",2,1,321.1
"Silwood",1,"S8P015",4,2,333.4
"Silwood",1,"S8P017",11,3.4594316186373,323.7
"Silwood",1,"S8P018",1,0,465.6
"Silwood",1,"S8P020",2,1,545.7
"Silwood",1,"S8P022",1,0,540.6
"Silwood",1,"S8P023",2,1,503.2
"Silwood",1,"S8P025",11,3.4594316186373,538.9
"Silwood",1,"S8P026",1,0,459.2
"Silwood",1,"S8P027",2,1,591.2
"Silwood",1,"S8P028",11,3.4594316186373,309.8
"Silwood",1,"S8P029",11,3.4594316186373,382.9
"Silwood",1,"S8P031",8,3,478
"Silwood",1,"S8P032",1,0,400.5
"Silwood",1,"S8P033",8,3,346.9
"Silwood",1,"S8P034",2,1,326
"Silwood",1,"S8P036",1,0,41.9
"Silwood",1,"S8P037",4,2,185.5
"Silwood",1,"S8P038",1,0,511.1
"Silwood",1,"S8P039",8,3,411.4
"Silwood",1,"S8P040",8,3,804.7
"Silwood",2,"S8P042",4,2,205.3
"Silwood",2,"S8P043",11,3.4594316186373,547.6
"Silwood",2,"S8P044",1,0,19
"Silwood",2,"S8P045",1,0,695.6
"Silwood",2,"S8P046",4,2,250.3
"Silwood",2,"S8P047",8,3,292.1
"Silwood",2,"S8P048",2,1,335.6
"Silwood",2,"S8P050",8,3,393.4
"Silwood",2,"S8P051",1,0,45.8
"Silwood",2,"S8P052",1,0,25
"Silwood",2,"S8P053",1,0,501.2
"Silwood",2,"S8P055",11,3.4594316186373,271.5
"Silwood",2,"S8P056",1,0,436.5
"Silwood",2,"S8P059",1,0,436.7
"Silwood",2,"S8P060",8,3,522.7
"Silwood",2,"S8P061",2,1,532.1
"Silwood",2,"S8P062",11,3.4594316186373,586.9
"Silwood",2,"S8P063",4,2,514.2
"Silwood",2,"S8P064",2,1,293.8
"Silwood",2,"S8P065",1,0,352.3
"Silwood",2,"S8P066",8,3,539.2
"Silwood",2,"S8P068",1,0,545.8
"Silwood",2,"S8P069",2,1,366.3
"Silwood",2,"S8P070",2,1,347
"Silwood",2,"S8P071",4,2,497.1
"Silwood",2,"S8P072",11,3.4594316186373,411.2
"Silwood",2,"S8P073",4,2,511.1
"Silwood",2,"S8P074",1,0,561.3
"Silwood",2,"S8P075",11,3.4594316186373,307.6
"Silwood",2,"S8P076",8,3,593.2
"Silwood",2,"S8P077",1,0,338.4
"Silwood",2,"S8P078",4,2,319.5
"Silwood",2,"S8P079",2,1,498.5
